Timestamp, sensorID, SensorType, Location, Measurement, Status
2023-11-01T00:09:00Z,S31,WindSpeed,Palmer Station,73.00,Normal
2023-11-01T00:12:00Z,S743,Temperature,Palmer Station,-12.00,Normal
2023-11-01T00:18:00Z,S625,Visibility,Palmer Station,172.00,Normal
2023-11-01T00:21:00Z,S196,Pressure,Palmer Station,982.00,Normal
2023-11-01T00:22:00Z,S876,Pressure,Palmer Station,986.00,Normal
2023-11-01T00:24:00Z,S627,WindSpeed,Palmer Station,69.00,Normal
2023-11-01T00:29:00Z,S685,Pressure,Palmer Station,997.00,Normal
2023-11-01T00:32:00Z,S419,Temperature,Palmer Station,-13.00,Normal
2023-11-01T00:48:00Z,S383,Temperature,Palmer Station,-14.00,Normal
2023-11-01T00:50:00Z,S173,Pressure,Palmer Station,998.00,Normal
2023-11-01T00:52:00Z,S646,Temperature,Palmer Station,-20.00,Normal
2023-11-01T00:56:00Z,S412,WindSpeed,Palmer Station,75.00,Normal
2023-11-01T00:58:00Z,S46,WindSpeed,Palmer Station,54.00,Normal
2023-11-01T01:00:00Z,S393,Visibility,Palmer Station,53.00,Normal
2023-11-01T01:01:00Z,S513,Visibility,Palmer Station,102.00,Normal
2023-11-01T01:02:00Z,S931,Visibility,Palmer Station,135.00,Normal
2023-11-01T01:05:00Z,S396,Temperature,Palmer Station,-20.00,Normal
2023-11-01T01:06:00Z,S670,UVRadiation,Palmer Station,0.00,Normal
2023-11-01T01:07:00Z,S854,Visibility,Palmer Station,86.00,Normal
2023-11-01T01:18:00Z,S293,UVRadiation,Palmer Station,0.00,Normal
2023-11-01T01:24:00Z,S729,Pressure,Palmer Station,1000.00,Normal
2023-11-01T01:34:00Z,S471,Temperature,Palmer Station,-20.00,Normal
2023-11-01T01:39:00Z,S548,Pressure,Palmer Station,999.00,Normal
2023-11-01T02:06:00Z,S943,UVRadiation,Palmer Station,0.00,Normal
2023-11-01T02:07:00Z,S688,Visibility,Palmer Station,90.00,Normal
2023-11-01T02:19:00Z,S655,Temperature,Palmer Station,-12.00,Normal
2023-11-01T02:20:00Z,S506,Pressure,Palmer Station,997.00,Normal
2023-11-01T02:23:00Z,S709,Temperature,Palmer Station,-20.00,Normal
2023-11-01T02:25:00Z,S77,Pressure,Palmer Station,986.00,Normal
2023-11-01T02:26:00Z,S760,WindSpeed,Palmer Station,58.00,Normal
2023-11-01T02:29:00Z,S151,UVRadiation,Palmer Station,0.00,Normal
2023-11-01T02:43:00Z,S494,Visibility,Palmer Station,119.00,Normal
2023-11-01T02:52:00Z,S539,UVRadiation,Palmer Station,1.00,Normal
2023-11-01T02:54:00Z,S777,Temperature,Palmer Station,-13.00,Normal
2023-11-01T02:55:00Z,S550,Visibility,Palmer Station,8.00,Normal
